Distance
    1    2    3    4    5    6    7    8    9    10
1  -1   4.6  8.2  3.5  7.3  1.8   10   13   14   19
2  4.6  -1    6   3.9   12   6    15   15   15   21 
3  8.2   6   -1    13   11   11   17   14   15   20  
4  3.5  3.9   13   -1   4   3.5   11   16   18   16
5  7.3   12   11   4   -1   8.1   12   17   18   17
6  1.8   6    11  3.5  8.1  -1    13   16   17   22
7   10   15   17   11   12   13   -1   11   9.3   9 
8   13   15   14   16   17   16   11   -1   2.3  9.5
9   14   15   15   18   18   17   9.3  2.3  -1    8
10  19   21   20   16   17   22    9   9.5   8   -1
