TIME
    1    2    3    4    5    6    7    8    9    10
1  -1    10   18   9    18   4    19   13   23   34
2   10  -1    15   22   31   17   28   25   27   37 
3   18   15  -1    27   38   23   30   24   26   36  
4    9   22   27   -1   11   11   22   29   31   36
5   18   31   38   11  -1    17   28   34   38   42
6    4   17   23   11   17  -1    25   28   29   40
7   19   28   30   22   28   25   -1   22   22   18 
8   13   25   24   29   34   28   22   -1    6   22
9   23   27   26   31   38   29   22    6  -1    22
10  34   37   36   36   42   40   18   22   22   -1
